2.27.7.0/24,NL,NL-NH,Amsterdam,
31.77.100.0/24,NL,NL-NH,Amsterdam,
144.31.41.0/24,NL,NL-NH,Amsterdam,
31.76.108.0/24,MH,MH-MAJ,Majuro,
31.76.109.0/24,NL,NL-NH,Amsterdam,
31.76.110.0/24,NL,NL-NH,Amsterdam,
31.76.111.0/24,DE,DE-HE,Frankfurt,
31.76.246.0/24,GB,GB-ENG,London,
89.125.125.0/24,RU,RU-MOW,Moscow,
132.243.222.0/24,DE,DE-HE,Frankfurt,
144.31.220.0/24,DE,DE-HE,Frankfurt,
144.31.225.0/24,DE,DE-HE,Frankfurt,
166.1.144.0/24,DE,DE-HE,Frankfurt,
89.35.130.0/24,DE,DE-HE,Frankfurt,
185.176.94.0/24,DE,DE-HE,Frankfurt,
45.12.71.0/24,MH,MH-MAJ,Majuro,
31.77.6.0/27,FI,FI-18,Helsinki,
31.77.6.32/27,EE,EE-37,Tallinn,
31.77.6.64/27,SE,SE-AB,Stockholm,
31.77.6.96/27,RU,RU-SPE,Saint Petersburg,
31.77.6.128/27,RU,RU-MOW,Moscow,
31.77.6.160/27,LV,LV-RIX,Riga,
31.77.6.192/27,BY,BY-HM,Minsk,
31.77.6.224/27,KZ,KZ-71,Astana,
85.217.166.0/27,PL,PL-14,Warsaw,
85.217.166.32/27,DE,DE-BE,Berlin,
85.217.166.64/27,NL,NL-NH,Amsterdam,
85.217.166.96/27,TR,TR-34,Istanbul,
85.217.166.128/27,IN,IN-DL,New Delhi,
85.217.166.160/27,HK,,Hong Kong,
85.217.166.192/27,JP,JP-13,Tokyo,
85.217.166.224/27,US,US-CA,Los Angeles,
2a06:de00:dde0::/44,DE,DE-HE,Frankfurt,
2a0d:d940:900b::/48,DE,DE-HE,Frankfurt,
2a12:bec4:14d0::/44,DE,DE-HE,Frankfurt,
